OAC1,OAC2,OAC3,OAC4,DIR1,DIR2,DIR3,DIR4,RAI1,RAI2,RAI3,RAI4,PVO1,PVO2,PVO3,PVO4,IP1,IP2,IP3,IP4,EST1,EST2,EST3,EST4,AIGR1,AIGR2,AIGR3,AIGR4,AI_Governance_Readiness,AI_Governance_Readiness_Pct,AI_Governance_Readiness_score
3,3,3,2,4,3,4,5,4,4,3,3,3,3,3,3,4,3,3,3,2,2,3,3,2,2,3,3,2.5,37.5,2.5
3,3,4,4,3,3,3,3,5,5,5,5,5,5,5,5,3,4,4,3,2,2,3,3,3,3,4,4,3.5,62.5,3.5
1,1,1,1,5,5,5,5,5,4,4,5,4,4,4,5,4,4,4,4,3,4,3,4,4,4,5,4,4.25,81.25,4.25
2,2,3,3,4,4,4,4,2,2,2,3,4,4,4,4,4,3,4,4,3,2,3,3,3,3,4,4,3.5,62.5,3.5
4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,5,4,4,2,2,2,2,4,3,4,3,3.5,62.5,3.5
2,2,3,3,4,4,4,4,5,5,5,5,5,4,4,5,4,4,4,4,5,4,5,5,4,4,4,5,4.25,81.25,4.25
5,5,5,5,4,4,4,4,3,3,3,3,5,3,4,4,3,3,3,3,5,5,4,4,5,5,5,5,5.0,100.0,5.0
3,2,3,3,4,4,4,4,4,4,4,5,2,3,3,2,4,4,4,4,2,3,3,2,3,4,4,3,3.5,62.5,3.5
3,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,2,2,2,2,1,1,1,1,3,4,3,3,3.25,56.25,3.25
3,4,4,4,2,3,3,3,4,3,3,4,3,3,4,2,3,4,3,4,3,4,4,3,4,5,4,5,4.5,87.5,4.5
5,5,5,5,4,5,3,4,3,2,3,3,3,3,3,3,3,4,3,4,2,2,2,4,5,4,4,5,4.5,87.5,4.5
3,3,2,2,3,3,4,3,3,3,3,3,4,4,4,5,4,3,3,3,3,3,3,4,4,3,4,4,3.75,68.75,3.75
4,5,5,5,3,3,3,3,3,4,4,4,5,5,5,5,3,3,4,3,2,1,1,1,4,3,4,4,3.75,68.75,3.75
3,4,4,4,5,4,4,4,4,5,5,5,3,3,3,3,2,1,2,2,4,4,4,4,4,3,3,4,3.5,62.5,3.5
3,3,3,3,3,4,3,4,4,4,4,5,3,4,4,4,3,4,3,2,2,2,1,2,3,4,4,5,4.0,75.0,4.0
5,4,4,4,5,5,5,4,3,3,3,3,5,5,5,5,4,4,3,4,3,4,4,4,5,5,5,5,5.0,100.0,5.0
5,4,4,4,2,1,1,1,4,5,4,4,4,4,4,4,3,5,3,4,3,4,4,3,2,2,3,3,2.5,37.5,2.5
3,3,4,4,5,5,5,5,1,1,1,1,5,5,5,5,2,3,2,2,2,1,2,1,3,3,2,3,2.75,43.75,2.75
4,4,4,4,5,5,5,5,5,5,5,5,3,5,3,5,4,5,5,5,3,2,3,2,5,5,5,5,5.0,100.0,5.0
4,3,4,4,2,1,2,2,1,2,2,2,2,2,1,2,3,3,2,3,4,3,4,4,3,2,2,3,2.5,37.5,2.5
3,4,4,3,4,4,3,4,4,3,3,3,4,4,4,4,5,4,5,4,3,3,3,3,5,4,4,4,4.25,81.25,4.25
4,4,5,5,4,4,3,4,3,2,2,3,4,4,4,4,3,3,3,4,4,4,3,4,3,4,5,4,4.0,75.0,4.0
5,5,5,5,2,2,3,3,2,2,2,2,4,4,5,5,3,3,3,3,5,5,5,5,5,5,5,5,5.0,100.0,5.0
3,3,3,2,3,2,2,3,5,4,4,5,4,5,4,4,5,5,5,5,1,2,1,1,4,4,3,3,3.5,62.5,3.5
5,5,5,5,2,3,3,3,3,3,3,4,4,3,4,4,2,2,2,2,5,4,4,5,4,4,4,4,4.0,75.0,4.0
2,2,2,2,5,5,5,5,4,4,4,4,2,3,2,2,5,4,4,4,4,3,4,4,4,5,4,4,4.25,81.25,4.25
3,4,3,4,5,5,4,4,3,4,4,4,4,3,3,3,5,5,4,5,1,2,3,2,3,4,4,4,3.75,68.75,3.75
4,4,5,4,5,5,5,5,3,5,3,4,2,3,2,3,3,2,2,2,2,1,2,2,5,4,4,4,4.25,81.25,4.25
4,4,4,4,4,4,4,5,4,4,4,4,3,2,3,3,5,5,5,5,3,4,3,3,5,5,5,5,5.0,100.0,5.0
3,3,3,4,3,3,3,3,2,3,3,2,4,4,4,4,4,3,4,4,4,4,4,5,3,3,3,2,2.75,43.75,2.75
4,4,3,4,3,3,3,3,5,5,5,5,5,5,5,5,4,3,4,4,3,3,2,3,4,4,4,3,3.75,68.75,3.75
4,4,3,4,5,4,4,4,3,4,3,4,4,3,3,3,4,3,3,3,4,5,5,4,3,4,3,3,3.25,56.25,3.25
3,3,3,4,3,2,3,2,2,2,2,3,3,2,2,2,3,3,2,3,2,2,2,1,1,1,2,2,1.5,12.5,1.5
5,4,4,5,5,4,4,4,3,4,4,3,3,5,4,5,4,5,4,4,4,3,3,3,3,5,4,4,4.0,75.0,4.0
4,4,4,5,4,4,3,4,5,5,5,5,5,5,5,4,4,4,4,4,2,1,2,1,4,3,3,4,3.5,62.5,3.5
3,4,3,3,4,3,4,3,5,4,4,5,3,3,3,3,2,2,2,2,3,4,4,3,3,3,2,3,2.75,43.75,2.75
5,5,5,5,5,4,5,5,3,3,4,3,4,4,4,4,5,5,5,4,4,4,3,4,5,4,4,5,4.5,87.5,4.5
4,4,4,5,4,4,4,4,4,4,3,4,3,4,3,4,1,2,2,1,2,2,2,3,4,5,4,5,4.5,87.5,4.5
4,5,4,5,4,4,3,4,3,3,3,3,3,3,3,3,4,5,4,5,1,1,1,1,2,2,2,2,2.0,25.0,2.0
5,5,4,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5,4,4,3,3,3,4,5,5,5,5,5.0,100.0,5.0
3,2,3,4,3,3,2,3,5,5,4,4,3,4,3,4,3,2,3,3,4,4,3,3,4,3,4,4,3.75,68.75,3.75
3,3,4,3,4,4,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,3,4,5,4,5,4,4.5,87.5,4.5
5,4,5,5,4,4,4,4,5,5,5,4,3,2,2,3,2,2,1,3,5,4,4,5,4,4,4,4,4.0,75.0,4.0
4,4,5,4,4,4,3,3,4,4,3,4,4,3,3,3,3,4,3,3,2,2,2,2,4,4,4,3,3.75,68.75,3.75
4,4,4,5,4,4,4,4,4,3,3,4,4,4,4,5,4,3,3,2,3,4,3,3,3,4,4,4,3.75,68.75,3.75
4,4,5,4,2,2,3,3,3,3,3,4,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4.0,75.0,4.0
5,5,5,5,5,5,5,4,3,4,4,4,5,5,5,5,5,5,5,5,2,1,2,1,5,5,5,4,4.75,93.75,4.75
3,3,4,3,4,4,4,3,4,3,3,4,3,3,3,3,5,5,5,5,4,3,3,3,4,5,4,4,4.25,81.25,4.25
4,5,4,4,4,3,3,3,5,4,4,5,4,5,4,3,3,3,3,3,2,2,3,2,3,3,3,3,3.0,50.0,3.0
3,4,3,3,4,5,4,5,4,4,4,4,5,5,4,5,4,3,4,3,3,4,3,3,4,4,4,3,3.75,68.75,3.75
4,4,3,3,3,4,3,3,4,4,4,5,2,3,2,2,1,2,1,1,3,3,4,4,3,4,4,4,3.75,68.75,3.75
5,5,5,4,2,2,2,2,3,3,4,4,2,2,2,2,3,2,3,2,2,2,3,2,3,2,3,3,2.75,43.75,2.75
5,5,5,4,2,2,2,2,4,4,4,4,2,2,2,2,5,4,4,5,1,3,2,3,3,3,3,3,3.0,50.0,3.0
5,5,5,5,4,5,5,4,1,2,2,1,5,5,5,5,5,5,5,5,4,3,3,2,4,3,3,3,3.25,56.25,3.25
5,5,5,5,2,1,3,3,5,5,5,4,2,4,3,3,2,2,2,2,2,2,2,2,4,4,4,3,3.75,68.75,3.75
4,5,4,4,5,5,5,5,3,4,4,4,5,5,5,5,3,3,3,2,2,2,1,2,4,4,4,3,3.75,68.75,3.75
5,5,4,5,2,1,2,2,5,4,4,5,4,3,3,4,4,3,4,4,4,4,4,3,4,4,4,5,4.25,81.25,4.25
3,4,3,4,5,5,5,5,1,1,1,1,4,4,4,4,4,3,4,3,2,2,1,2,4,3,3,3,3.25,56.25,3.25
4,3,4,4,3,4,4,4,5,5,5,5,5,5,5,5,2,3,2,3,4,5,3,4,4,5,4,5,4.5,87.5,4.5
4,4,3,3,5,4,4,3,3,3,3,4,5,5,5,5,4,5,3,3,3,3,3,3,5,4,5,4,4.5,87.5,4.5
3,5,4,4,4,3,3,3,5,5,5,5,5,5,5,5,3,3,4,3,2,2,1,2,4,4,4,3,3.75,68.75,3.75
5,4,4,4,4,4,4,5,2,2,3,3,5,5,5,5,4,4,3,4,2,3,2,2,3,4,3,4,3.5,62.5,3.5
4,4,3,3,4,5,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4,3,4,3,4,3.5,62.5,3.5
5,5,5,5,4,5,5,5,3,3,3,3,4,5,5,5,2,4,3,3,2,2,2,2,3,4,4,4,3.75,68.75,3.75
3,3,3,3,5,3,4,5,4,3,3,3,4,4,5,4,3,3,3,3,3,2,2,3,3,3,3,4,3.25,56.25,3.25
3,2,4,3,5,5,4,4,5,5,5,5,2,3,3,3,3,3,3,3,3,4,4,3,2,4,3,3,3.0,50.0,3.0
5,4,5,5,3,3,4,3,3,3,4,4,3,3,3,3,3,3,4,3,3,4,3,4,5,5,4,4,4.5,87.5,4.5
5,5,5,4,4,4,3,3,4,5,4,4,4,4,4,3,2,3,2,3,3,3,4,3,4,4,4,4,4.0,75.0,4.0
5,4,4,4,4,4,4,4,4,4,5,5,4,4,4,3,3,3,3,3,3,3,2,3,5,4,4,5,4.5,87.5,4.5
5,5,5,4,2,2,2,2,4,4,4,3,3,4,3,3,5,5,5,5,5,4,4,5,4,4,4,4,4.0,75.0,4.0
4,3,4,4,2,3,2,3,4,4,4,4,5,4,5,4,4,4,4,3,5,5,4,5,4,4,3,4,3.75,68.75,3.75
4,3,3,3,5,5,5,4,4,4,4,4,5,4,5,5,4,3,3,3,5,4,4,4,5,5,5,5,5.0,100.0,5.0
4,4,3,4,4,4,4,4,5,5,5,5,4,4,3,3,4,4,4,3,4,3,3,3,5,5,5,5,5.0,100.0,5.0
3,3,3,3,4,3,3,4,3,3,4,4,5,5,5,5,4,3,3,3,2,3,2,2,3,3,3,4,3.25,56.25,3.25
5,4,5,5,4,3,4,3,4,4,4,4,3,2,2,3,4,5,4,5,3,2,2,2,4,4,4,5,4.25,81.25,4.25
4,4,4,3,4,3,4,5,5,5,5,5,4,4,3,4,4,4,4,4,4,5,3,3,3,4,3,3,3.25,56.25,3.25
4,3,3,3,3,3,3,3,5,4,4,5,3,3,3,3,3,3,3,3,4,3,4,4,4,5,5,4,4.5,87.5,4.5
4,3,3,3,3,3,3,3,5,5,5,5,2,1,2,2,4,4,3,3,4,4,4,4,4,5,4,4,4.25,81.25,4.25
4,4,4,4,4,4,4,4,4,5,3,5,3,4,3,4,2,2,2,1,4,4,4,4,4,4,4,4,4.0,75.0,4.0
3,3,4,3,2,3,3,3,3,3,3,3,3,3,3,4,3,2,2,2,1,1,1,1,2,2,2,3,2.25,31.25,2.25
3,3,3,3,5,5,4,5,5,5,5,5,5,5,5,5,2,3,2,2,4,4,4,4,5,3,5,5,4.5,87.5,4.5
4,5,5,4,1,2,1,2,3,3,3,2,4,5,5,4,4,4,4,3,2,2,2,2,3,3,2,3,2.75,43.75,2.75
4,4,4,4,5,5,5,5,3,4,4,4,3,3,2,3,5,5,5,5,2,3,2,2,5,4,4,5,4.5,87.5,4.5
4,3,4,3,5,5,4,4,3,3,3,3,5,5,5,5,5,5,5,5,3,3,3,3,5,5,5,5,5.0,100.0,5.0
3,3,3,4,4,4,4,5,3,4,4,4,5,5,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5.0,100.0,5.0
4,4,4,4,4,5,5,5,3,5,5,4,4,5,4,4,4,4,4,4,5,5,5,5,4,4,5,5,4.5,87.5,4.5
2,3,2,3,5,5,5,5,4,3,4,4,3,3,3,3,2,2,1,2,4,4,3,4,4,4,4,4,4.0,75.0,4.0
3,2,3,3,5,5,5,4,5,4,4,5,2,3,3,2,3,3,3,3,3,3,4,2,4,4,5,5,4.5,87.5,4.5
3,2,3,3,2,2,2,2,5,4,5,5,3,4,4,3,3,2,2,2,4,3,3,3,4,4,3,3,3.5,62.5,3.5
4,4,3,4,2,2,3,2,4,4,4,4,5,5,4,4,3,3,3,2,4,4,4,4,4,5,4,4,4.25,81.25,4.25
4,4,4,4,4,3,4,3,3,4,3,4,5,5,5,5,3,3,3,3,2,3,3,3,5,5,5,5,5.0,100.0,5.0
5,5,5,5,4,4,3,5,5,5,5,5,5,5,5,5,3,3,3,3,4,4,4,5,5,5,5,5,5.0,100.0,5.0
5,5,5,4,4,4,4,4,5,5,5,5,3,3,3,3,2,1,1,1,4,3,3,3,5,5,5,4,4.75,93.75,4.75
4,3,4,4,2,2,3,3,3,2,3,3,2,2,2,3,4,5,4,4,4,3,4,4,3,4,4,4,3.75,68.75,3.75
4,3,5,4,4,4,4,4,4,4,4,4,3,4,4,4,2,3,2,2,4,3,4,4,4,4,3,4,3.75,68.75,3.75
3,2,2,3,3,3,3,3,4,5,4,5,2,2,2,2,4,4,4,4,3,3,4,4,3,3,3,3,3.0,50.0,3.0
4,4,4,4,3,3,3,4,3,3,3,3,4,5,4,3,5,5,5,5,4,4,4,4,4,4,3,4,3.75,68.75,3.75
4,3,4,4,2,2,3,2,5,5,5,5,3,3,3,4,2,3,2,2,3,2,3,3,4,5,4,5,4.5,87.5,4.5
5,5,5,4,3,3,3,3,3,3,3,3,3,3,4,3,1,2,1,1,2,3,2,3,3,3,3,3,3.0,50.0,3.0
4,3,2,3,3,3,3,3,4,4,3,3,2,2,2,2,2,2,4,3,1,3,1,2,4,3,3,4,3.5,62.5,3.5
4,4,5,5,3,3,3,3,4,3,3,4,5,5,4,4,5,5,4,4,4,4,3,4,4,3,5,4,4.0,75.0,4.0
5,5,5,5,5,4,5,5,4,3,4,4,2,3,2,3,5,5,5,5,4,3,3,4,4,5,5,5,4.75,93.75,4.75
3,4,4,5,3,3,3,2,3,2,2,3,3,3,1,2,2,2,2,2,3,4,4,3,3,3,3,4,3.25,56.25,3.25
5,4,4,5,5,5,5,5,2,2,2,2,1,1,1,1,4,4,4,3,5,5,4,4,3,3,4,3,3.25,56.25,3.25
5,5,4,5,5,4,5,5,5,5,5,5,3,3,3,4,3,3,2,3,3,3,3,3,5,5,5,5,5.0,100.0,5.0
3,3,4,3,4,4,4,4,2,2,2,3,5,5,5,5,4,3,3,3,4,4,4,4,5,4,5,4,4.5,87.5,4.5
4,4,4,4,3,3,4,3,3,3,2,3,5,5,5,5,5,5,5,5,1,2,2,2,4,3,3,3,3.25,56.25,3.25
4,3,4,4,5,5,5,4,2,2,1,2,3,3,4,3,2,2,2,2,3,3,3,3,3,3,4,3,3.25,56.25,3.25
4,3,4,4,3,3,3,3,4,3,3,4,4,3,3,3,4,3,3,4,4,3,4,3,4,4,5,5,4.5,87.5,4.5
3,3,3,3,3,4,3,5,3,3,3,2,4,4,4,4,4,4,4,5,3,3,4,4,3,3,3,4,3.25,56.25,3.25
4,4,5,4,5,5,5,5,5,5,5,5,3,3,3,2,5,4,5,4,3,3,3,3,5,5,4,4,4.5,87.5,4.5
4,4,5,5,4,4,4,4,5,4,5,5,4,4,4,4,3,3,4,4,3,3,3,2,5,5,5,5,5.0,100.0,5.0
5,5,5,5,5,5,5,5,3,3,3,3,4,4,4,4,3,4,4,4,1,2,2,2,5,5,5,5,5.0,100.0,5.0
5,5,5,5,3,3,4,3,5,5,5,5,5,4,5,5,3,2,3,3,3,3,2,2,5,4,5,4,4.5,87.5,4.5
5,5,5,5,4,4,3,4,5,5,5,5,4,3,3,3,3,4,3,3,4,4,4,4,5,5,5,5,5.0,100.0,5.0
4,2,4,3,5,5,5,5,3,3,4,4,3,3,4,4,3,2,3,3,4,4,4,4,5,5,5,5,5.0,100.0,5.0
5,5,4,5,4,4,3,4,2,2,1,1,2,3,2,3,3,4,4,4,3,4,3,4,3,3,2,3,2.75,43.75,2.75
4,4,4,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,4,4,3,5,4,4,5,4.5,87.5,4.5
5,5,5,5,5,4,5,5,3,2,2,2,3,4,3,3,4,4,4,4,3,3,2,3,5,5,5,5,5.0,100.0,5.0
3,3,3,4,3,3,2,2,1,2,2,2,4,3,5,4,3,3,4,2,2,2,2,2,4,3,4,4,3.75,68.75,3.75
3,3,3,3,4,5,4,5,5,4,5,4,4,5,4,5,5,4,4,5,4,4,3,5,5,4,5,4,4.5,87.5,4.5
4,3,3,4,5,5,4,4,5,5,5,5,2,3,3,3,4,3,3,3,4,3,4,4,4,4,4,4,4.0,75.0,4.0
1,2,2,2,5,4,4,5,5,5,5,5,5,5,5,5,2,1,2,2,3,3,3,3,5,5,5,5,5.0,100.0,5.0
4,3,3,3,1,2,3,3,4,5,5,5,4,3,3,3,5,5,5,5,3,3,3,2,3,3,2,2,2.5,37.5,2.5
3,3,3,4,3,3,3,3,5,4,5,4,3,3,4,4,3,3,2,2,1,1,1,1,3,3,3,3,3.0,50.0,3.0
4,4,4,4,3,4,4,3,4,5,4,5,2,2,2,3,3,4,4,2,4,4,4,4,5,4,5,4,4.5,87.5,4.5
4,5,5,4,3,4,4,3,4,4,4,5,1,2,1,1,3,3,2,3,2,3,3,3,4,4,5,4,4.25,81.25,4.25
5,5,5,5,5,5,4,5,4,4,4,4,5,5,5,4,5,5,4,5,2,2,2,2,5,5,5,5,5.0,100.0,5.0
4,4,5,5,4,4,3,4,4,4,4,4,4,5,4,4,1,1,1,2,3,4,3,4,4,5,5,5,4.75,93.75,4.75
4,3,4,4,2,3,3,3,4,3,4,3,3,3,3,3,5,5,5,5,3,3,4,3,4,4,4,4,4.0,75.0,4.0
3,3,3,3,4,4,4,4,3,3,2,2,4,4,4,4,5,5,4,5,4,4,4,3,4,4,3,4,3.75,68.75,3.75
5,5,5,5,5,5,4,5,3,2,3,3,3,3,4,4,4,3,4,3,3,3,3,4,5,4,5,4,4.5,87.5,4.5
